0.5055652137231899
(0) --> prob=[0.034162009638399715,0.9658379903616003], prediction=1.0
(2) --> prob=[0.9990290696130104,9.709303869895975E-4], prediction=0.0
(4) --> prob=[0.4087738926602799,0.59122610733972], prediction=1.0
(6) --> prob=[0.5426245064856144,0.45737549351438556], prediction=0.0
(8) --> prob=[0.01562010658116581,0.9843798934188343], prediction=1.0
(10) --> prob=[1.9274099202147296E-12,0.9999999999980727], prediction=1.0
(12) --> prob=[0.016440253019974364,0.9835597469800256], prediction=1.0
(14) --> prob=[0.3234595040574435,0.6765404959425564], prediction=1.0
(16) --> prob=[0.0011349134956735885,0.9988650865043265], prediction=1.0
(18) --> prob=[0.9999999953463274,4.653672525143507E-9], prediction=0.0
(20) --> prob=[0.0022071182528488205,0.9977928817471513], prediction=1.0
(22) --> prob=[0.9978030978479373,0.0021969021520625784], prediction=0.0
(24) --> prob=[8.62626131017608E-15,0.9999999999999913], prediction=1.0
(26) --> prob=[0.912267347994492,0.08773265200550784], prediction=0.0
(28) --> prob=[0.9999999999998799,1.201655705827094E-13], prediction=0.0
(30) --> prob=[0.946844405602333,0.05315559439766706], prediction=0.0
(32) --> prob=[0.081581137578329,0.9184188624216709], prediction=1.0
(34) --> prob=[0.009852674196518125,0.990147325803482], prediction=1.0
(36) --> prob=[0.9966742281273671,0.0033257718726329164], prediction=0.0
(38) --> prob=[0.04460678530353779,0.9553932146964621], prediction=1.0
(40) --> prob=[1.1293426847873367E-5,0.9999887065731522], prediction=1.0
(42) --> prob=[0.04860709092295546,0.9513929090770444], prediction=1.0
(44) --> prob=[0.9998650008871509,1.349991128492108E-4], prediction=0.0
(46) --> prob=[0.01879504073252106,0.981204959267479], prediction=1.0
(48) --> prob=[0.8034725617499305,0.19652743825006955], prediction=0.0
(50) --> prob=[0.9956878141112525,0.004312185888747442], prediction=0.0
(52) --> prob=[0.0011224847444729223,0.998877515255527], prediction=1.0
(54) --> prob=[0.999331482469494,6.685175305060911E-4], prediction=0.0
(56) --> prob=[0.40845291693035995,0.5915470830696401], prediction=1.0
(58) --> prob=[0.9999976202324717,2.3797675282773122E-6], prediction=0.0
(60) --> prob=[1.7465310933500785E-5,0.9999825346890665], prediction=1.0
(62) --> prob=[4.392206680470581E-11,0.999999999956078], prediction=1.0
(64) --> prob=[4.364451168109297E-6,0.999995635548832], prediction=1.0
(66) --> prob=[4.184580944532141E-7,0.9999995815419055], prediction=1.0
(68) --> prob=[0.02107748975123909,0.9789225102487608], prediction=1.0
(70) --> prob=[0.0021276698821480647,0.9978723301178518], prediction=1.0
(72) --> prob=[0.009071289528283516,0.9909287104717166], prediction=1.0
(74) --> prob=[8.93157936418594E-6,0.9999910684206358], prediction=1.0
(76) --> prob=[0.9998568499702546,1.4315002974545584E-4], prediction=0.0
(78) --> prob=[5.749794999289238E-4,0.9994250205000711], prediction=1.0
(80) --> prob=[3.21727696540784E-4,0.9996782723034593], prediction=1.0
(82) --> prob=[7.509477060088981E-4,0.9992490522939912], prediction=1.0
(84) --> prob=[0.8179228037293138,0.1820771962706862], prediction=0.0
(86) --> prob=[0.9997584711893551,2.4152881064481134E-4], prediction=0.0
(88) --> prob=[5.4596394271418435E-5,0.9999454036057287], prediction=1.0
(90) --> prob=[0.951512371983703,0.04848762801629695], prediction=0.0
(92) --> prob=[0.22196406504397856,0.7780359349560214], prediction=1.0
(94) --> prob=[0.9977226175523602,0.002277382447639851], prediction=0.0
(96) --> prob=[0.042056915238096584,0.9579430847619035], prediction=1.0
(98) --> prob=[0.9999934257422496,6.574257750377572E-6], prediction=0.0
(100) --> prob=[0.9999987085840047,1.29141599534688E-6], prediction=0.0
